sentiment,timestamp,text,clean_text
0,Mon Apr 06 22:19:45 PDT 2009,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",switchfoot awww bummer shoulda got david carr third day
0,Mon Apr 06 22:19:49 PDT 2009,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,upset update facebook texting might cry result school today also blah
0,Mon Apr 06 22:19:53 PDT 2009,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,kenichan dived many time ball managed save 50 rest go bound
0,Mon Apr 06 22:19:57 PDT 2009,my whole body feels itchy and like its on fire ,whole body feel itchy like fire
0,Mon Apr 06 22:19:57 PDT 2009,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",nationwideclass behaving mad see
0,Mon Apr 06 22:20:00 PDT 2009,@Kwesidei not the whole crew ,kwesidei whole crew
0,Mon Apr 06 22:20:03 PDT 2009,Need a hug ,need hug
0,Mon Apr 06 22:20:03 PDT 2009,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",loltrish hey long time see yes rain bit bit lol fine thanks
0,Mon Apr 06 22:20:05 PDT 2009,@Tatiana_K nope they didn't have it ,tatiana k nope
0,Mon Apr 06 22:20:09 PDT 2009,@twittera que me muera ? ,twittera que muera
0,Mon Apr 06 22:20:16 PDT 2009,spring break in plain city... it's snowing ,spring break plain city snowing
0,Mon Apr 06 22:20:17 PDT 2009,I just re-pierced my ears ,pierced ear
0,Mon Apr 06 22:20:19 PDT 2009,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,caregiving bear watch thought ua loss embarrassing
0,Mon Apr 06 22:20:19 PDT 2009,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",octolinz16 count idk either never talk anymore
0,Mon Apr 06 22:20:20 PDT 2009,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",smarrison would first gun really though zac snyder doucheclown
0,Mon Apr 06 22:20:20 PDT 2009,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,iamjazzyfizzle wish got watch miss iamlilnicki premiere
0,Mon Apr 06 22:20:22 PDT 2009,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,hollis death scene hurt severely watch film wry director cut
0,Mon Apr 06 22:20:25 PDT 2009,about to file taxes ,file tax
0,Mon Apr 06 22:20:31 PDT 2009,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,lettya ahh ive always wanted see rent love soundtrack
0,Mon Apr 06 22:20:34 PDT 2009,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,fakerpattypattz oh dear drinking forgotten table drink
0,Mon Apr 06 22:20:37 PDT 2009,@alydesigns i was out most of the day so didn't get much done ,alydesigns day get much done
0,Mon Apr 06 22:20:38 PDT 2009,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",one friend called asked meet mid valley today time sigh
0,Mon Apr 06 22:20:40 PDT 2009,@angry_barista I baked you a cake but I ated it ,angry barista baked cake ated
